장기요양기관코드,기관유형코드,,,
11111000006,A03,,,
11111000056,A03,,,
11111000060,A03,,,
11111000068,A03,,,
11111000076,A03,,,
11111000078,A03,,,
11111000087,A03,,,
11111000088,A04,,,
11111000135,A03,,,
11114000030,A03,,,
11114000040,A03,,,
11114000043,A04,,,
11117000054,A03,,,
11117000092,A03,,,
11120000010,A03,,,
11120000010,G31,,,
11120000010,G32,,,
11120000010,G33,,,
11120000010,G34,,,
11120000056,A04,,,
11120000065,A03,,,
11120000093,A03,,,
11120000110,A04,,,
11120000126,A04,,,
11120000180,A03,,,
11120000190,A04,,,
11121500005,A03,,,
11121500009,A04,,,
11121500093,A04,,,
11121500095,A04,,,
11121500101,A03,,,
11121500112,A04,,,
11121500118,A03,,,
11121500142,A03,,,
11121500148,A03,,,
11121500196,A04,,,
11121500252,A04,,,
11121500254,A04,,,
11121500260,A04,,,
11121500268,A03,,,
11121500269,A03,,,
11121500271,A04,,,
11121500282,A04,,,
11121500294,A03,,,
11121500303,A04,,,
11123000008,A03,,,
11123000009,A03,,,
11123000022,A03,,,
11123000061,A04,,,
11123000090,A04,,,
11123000113,A03,,,
11123000241,A04,,,
11123000284,A04,,,
11123000285,A04,,,
11123000292,A04,,,
11123000303,A04,,,
11123000307,A04,,,
11123000332,A04,,,
11123000347,A04,,,
11123000371,A04,,,
11123000373,A04,,,
11123000375,A04,,,
11123000376,A04,,,
11123000377,A04,,,
11123000381,A03,,,
11123000383,A03,,,
11123000387,A03,,,
11123000404,A04,,,
11126000011,A03,,,
11126000036,A04,,,
11126000074,A04,,,
11126000111,A03,,,
11126000113,A04,,,
11126000118,A04,,,
11126000162,A03,,,
11126000163,A04,,,
11126000164,A04,,,
11126000218,A04,,,
11126000230,A04,,,
11126000231,A04,,,
11126000232,A04,,,
11126000234,A04,,,
11126000253,A04,,,
11126000254,A04,,,
11126000271,A03,,,
11126000271,G31,,,
11126000271,G32,,,
11126000287,A03,,,
11126000291,A04,,,
11126000292,A04,,,
11126000300,A04,,,
11126000315,A04,,,
11126000316,A04,,,
11126000322,A03,,,
