연번,평가구분,장기요양기관기호,장기요양기관명,급여종류,설립주체,관할시도명,관할시군구명,평가일자,평가등급,평가총점,기관운영,환경및안전,수급자권리보장,급여제공과정,급여제공결과
1,2024년 정기평가,3-11560-00273,단비재가노인복지센터,04.방문요양,개인,서울특별시,영등포구,2024-02-19,B,82.46,80.55,94.44,78.41,87.9,74.17
2,2024년 정기평가,2-11560-00319,바른마음재가복지센터,04.방문요양,개인,서울특별시,영등포구,2024-02-27,A,91.04,72.2,100,100,96.77,86.67
3,2024년 정기평가,3-11560-00063,스마일노인요양복지센타,04.방문요양,개인,서울특별시,영등포구,2024-02-27,B,85.1,70,88.89,96.59,97.58,64.44
4,2024년 정기평가,3-11560-00275,더나은재가방문요양센터,04.방문요양,개인,서울특별시,영등포구,2024-02-19,A,91.6,73.75,100,95.45,97.58,92.22
5,2024년 정기평가,3-11560-00279,서울재가어르신요양센터,04.방문요양,개인,서울특별시,영등포구,2024-08-30,C,85.85,55,100,95.45,91.94,90.83
6,2024년 정기평가,3-11560-00225,한사랑 방문요양센터,04.방문요양,개인,서울특별시,영등포구,2024-05-24,A,91.6,91.25,88.89,95.45,96.77,79.72
7,2024년 정기평가,2-11560-00163,굿피플 복지센터,04.방문요양,개인,서울특별시,영등포구,2024-05-13,A,92.16,90.3,100,93.18,95.16,83.89
8,2024년 정기평가,2-11560-00321,집으로재가센터,04.방문요양,개인,서울특별시,영등포구,2024-08-26,B,87.49,81.95,100,95.45,82.26,86.67
9,2024년 정기평가,2-11560-00331,행복한동행재가복지센터,04.방문요양,개인,서울특별시,영등포구,2024-09-10,E,53.23,25,72.22,59.09,67.74,42.94
10,2024년 정기평가,3-11560-00047,서울의료복지사회적협동조합 우리네 노인복지센터,04.방문요양,법인,서울특별시,영등포구,2024-08-30,C,78.35,66.25,77.78,90.91,82.26,70
11,2024년 정기평가,3-11560-00161,울타리 재가노인복지센터,04.방문요양,개인,서울특별시,영등포구,2024-05-13,C,78.3,71.25,100,88.64,81.45,57.22
12,2024년 정기평가,3-11560-00107,참사랑 사회복지 요양센터,04.방문요양,개인,서울특별시,영등포구,2024-07-18,C,73.05,61.25,83.33,79.55,73.39,72.5
13,2024년 정기평가,3-11560-00103,정다운 노인복지 방문센터,04.방문요양,개인,서울특별시,영등포구,2024-05-30,B,89.29,84.7,100,86.36,97.58,78.33
14,2024년 정기평가,3-11560-00099,희망을주는사람들,04.방문요양,개인,서울특별시,영등포구,2024-05-27,C,73.35,57.5,83.33,79.55,83.87,60.28
15,2024년 정기평가,2-11560-00283,사계절 노인장기요양기관,04.방문요양,개인,서울특별시,영등포구,2024-05-27,E,60.55,33.75,77.78,65.91,61.29,73.89
16,2024년 정기평가,3-11560-00031,서울덕수재가복지센터,04.방문요양,개인,서울특별시,영등포구,2024-07-29,D,74.05,72.5,88.89,95.45,72.58,44.72
17,2024년 정기평가,3-11560-00245,우리집재가복지센터,04.방문요양,개인,서울특별시,영등포구,2024-08-06,D,67.3,57.5,88.89,86.36,61.29,54.44
18,2024년 정기평가,2-11560-00325,서울현대재가센터,04.방문요양,개인,서울특별시,영등포구,2024-05-20,D,72.02,45.85,100,92.05,72.58,61.67
19,2024년 정기평가,3-11560-00233,여의도나눔재가복지센터,04.방문요양,개인,서울특별시,영등포구,2024-09-05,C,80.35,51.25,100,88.64,81.45,90.83
20,2024년 정기평가,2-11560-00323,다니엘재가실버케어센터,04.방문요양,법인,서울특별시,영등포구,2024-09-10,C,71.85,75,88.89,69.32,70.97,64.44
21,2024년 정기평가,3-11560-00299,연세재가복지센터,04.방문요양,개인,서울특별시,영등포구,2024-02-27,D,61.1,42.5,100,43.18,82.26,47.78
22,2024년 정기평가,3-11560-00215,우리노인복지센터,04.방문요양,개인,서울특별시,영등포구,2024-05-27,E,56.55,40,44.44,69.32,51.61,73.89
23,2024년 정기평가,2-11560-00007,소망방문요양복지센터,04.방문요양,개인,서울특별시,영등포구,2024-05-24,D,68.35,56.25,88.89,46.59,81.45,75.56
24,2024년 정기평가,3-11560-00175,여의도노인복지센터,04.방문요양,개인,서울특별시,영등포구,2024-05-20,C,79.5,63.75,100,90.91,92.74,50
25,2024년 정기평가,3-11560-00041,가이오 재가센터,04.방문요양,개인,서울특별시,영등포구,2024-02-27,B,85.3,75,88.89,92.05,91.94,75.28
26,2024년 정기평가,3-11560-00291,소망재가복지센터,04.방문요양,개인,서울특별시,영등포구,2024-07-25,C,81.1,55,100,82.95,84.68,92.22
27,2024년 정기평가,3-11560-00217,'(A)비지팅엔젤스 영등포지점,04.방문요양,개인,서울특별시,영등포구,2024-07-29,B,88.1,77.5,88.89,90.91,91.94,89.44
28,2024년 정기평가,3-11560-00289,온누리재가복지센타,04.방문요양,개인,서울특별시,영등포구,2024-05-13,C,84.35,55,100,100,86.29,86.67
29,2024년 정기평가,3-11560-00069,영등포구노인복지센터,04.방문요양,개인,서울특별시,영등포구,2024-09-06,B,86.05,76.25,88.89,100,82.26,85
30,2024년 정기평가,3-11560-00073,처음처럼 방문요양센터,04.방문요양,개인,서울특별시,영등포구,2024-07-17,C,78.85,68.75,100,84.09,81.45,68.61
31,2024년 정기평가,2-11560-00335,손&강 재가노인복지센터,04.방문요양,개인,서울특별시,영등포구,2024-08-06,D,68.74,72.2,66.67,75,62.9,68.33
32,2024년 정기평가,2-11560-00009,구립영등포노인복지센터,04.방문요양,지방자치단체,서울특별시,영등포구,2024-11-12,A,97.35,100,100,100,97.58,89.44
33,2024년 정기평가,2-11560-00003,대길홈케어센터,04.방문요양,법인,서울특별시,영등포구,2024-07-17,B,88.35,80,94.44,96.59,95.16,72.78
34,2024년 정기평가,3-11560-00149,헤세드 재가노인요양센터,04.방문요양,개인,서울특별시,영등포구,2024-05-27,E,48.43,41.65,44.44,43.18,58.06,47.78
35,2024년 정기평가,2-11560-00327,고은재가복지센터,04.방문요양,개인,서울특별시,영등포구,2024-07-25,B,82.21,93.05,88.89,90.91,70.97,75.56
36,2024년 정기평가,3-11560-00063,스마일노인요양복지센타,05.방문목욕,개인,서울특별시,영등포구,2024-02-27,B,85.35,75,90,96.59,83.82,82.86
37,2024년 정기평가,3-11560-00107,참사랑 사회복지 요양센터,05.방문목욕,개인,서울특별시,영등포구,2024-07-18,D,69.8,55,70,84.09,70.59,66.43
38,2024년 정기평가,2-11560-00251,에녹요양협동조합 주야간보호센터,07.주야간보호,법인,서울특별시,영등포구,2024-04-09,D,71.1,78.95,82.95,72.92,60.94,64
39,2024년 정기평가,2-11560-00253,구립대림1동데이케어센터,07.주야간보호,지방자치단체,서울특별시,영등포구,2024-10-11,A,94.1,100,90.91,100,95.31,84
40,2024년 정기평가,2-11560-00259,서울희망데이케어센터,07.주야간보호,개인,서울특별시,영등포구,2024-10-22,D,77.6,60.53,93.18,100,84.38,44
41,2024년 정기평가,2-11560-00009,구립영등포노인복지센터,07.주야간보호,지방자치단체,서울특별시,영등포구,2024-11-12,A,95.35,93.42,100,100,93.75,90.67
42,2024년 정기평가,2-11560-00211,구립영등포치매전문데이케어센터,07.주야간보호,지방자치단체,서울특별시,영등포구,2024-03-29,A,95.1,90.79,97.73,100,94.53,94
43,2024년 정기평가,3-11560-00097,노바의료기,09.복지용구,개인,서울특별시,영등포구,2024-05-30,B,89.6,89.29,94,78.26,90,97.78
44,2024년 정기평가,3-11560-00045,동해의료기,09.복지용구,개인,서울특별시,영등포구,2024-08-26,E,70.75,37.5,92,71.74,70,66.67
45,2024년 정기평가,2-11215-00281,자양방문요양센터,04.방문요양,개인,서울특별시,광진구,2024-03-13,E,68.6,37.5,100,82.95,66.13,74.17
